ID_TRIAL;ID_MOVEMENT;ID_STATION;TIME_STAMP;POS_X;POS_Y;POS_Z;ROT_QUA_X;ROT_QUA_Y;ROT_QUA_Z;ROT_QUA_W;EULER_AX;EULER_AY;EULER_AZ;CURR_STAGE
200118185740;;0;18:57:51 18/01/20;-1,00616;1,785595;-3,342781;-0,145449;-0,7674181;-0,1263126;0,611522;338,1758;256,2804;4,247372;TUTORIAL
200118185740;;0;18:57:51 18/01/20;-1,008262;1,785563;-3,33757;-0,1478728;-0,7510061;-0,1258311;0,6311023;337,9358;259,3199;3,91538;TUTORIAL
200118185740;;0;18:57:51 18/01/20;-1,008293;1,785953;-3,334942;-0,1469318;-0,7473062;-0,1278445;0,6352955;337,8045;260,0421;3,53987;TUTORIAL
200118185740;;0;18:57:51 18/01/20;-1,008761;1,785642;-3,333799;-0,1456913;-0,7466003;-0,1274782;0,6364836;337,9256;260,2286;3,419315;TUTORIAL
200118185740;;0;18:57:51 18/01/20;-1,009838;1,784957;-3,333807;-0,1440672;-0,7456938;-0,1258063;0,6382462;338,1902;260,4753;3,35103;TUTORIAL
200118185740;;0;18:57:52 18/01/20;-1,009906;1,785175;-3,334387;-0,1446869;-0,7436292;-0,1241351;0,6408368;338,2805;260,8433;3,461173;TUTORIAL
200118185740;;0;18:57:52 18/01/20;-1,009454;1,785226;-3,33421;-0,1454861;-0,743569;-0,124396;0,6406751;338,1972;260,8202;3,5174;TUTORIAL
200118185740;;0;18:57:52 18/01/20;-1,009031;1,785494;-3,334033;-0,1459939;-0,7431076;-0,1247044;0,6410349;338,1294;260,8831;3,527458;TUTORIAL
200118185740;;0;18:57:52 18/01/20;-1,009367;1,785446;-3,333196;-0,145694;-0,741768;-0,1248247;0,6426291;338,134;261,1429;3,441474;TUTORIAL
200118185740;;0;18:57:52 18/01/20;-1,008881;1,785439;-3,333521;-0,1466628;-0,741688;-0,1246688;0,6425315;338,0744;261,1187;3,5443;TUTORIAL
200118185740;;0;18:57:53 18/01/20;-1,009117;1,785496;-3,334078;-0,1466261;-0,7409264;-0,124085;0,6435308;338,1244;261,2642;3,556948;TUTORIAL
200118185740;;0;18:57:53 18/01/20;-1,008627;1,785739;-3,334815;-0,1475686;-0,7407305;-0,1233945;0,6436737;338,1131;261,2651;3,69286;TUTORIAL
200118185740;;0;18:57:53 18/01/20;-1,008989;1,785599;-3,33411;-0,1475602;-0,7403518;-0,1233525;0,6441191;338,1152;261,3356;3,681667;TUTORIAL
200118185740;;0;18:57:53 18/01/20;-1,008817;1,78562;-3,333798;-0,1473665;-0,7395986;-0,1236829;0,6449648;338,0965;261,4809;3,611385;TUTORIAL
200118185740;;0;18:57:53 18/01/20;-1,008768;1,78577;-3,33338;-0,148101;-0,7390535;-0,1235479;0,6454471;338,0499;261,5516;3,673229;TUTORIAL
200118185740;;0;18:57:54 18/01/20;-1,009039;1,785658;-3,332576;-0,1476297;-0,7376;-0,1234866;0,647227;338,0827;261,8389;3,580403;TUTORIAL
200118185740;;0;18:57:54 18/01/20;-1,0077;1,786169;-3,332596;-0,1492532;-0,7372152;-0,124804;0,6470404;337,8421;261,8356;3,625028;TUTORIAL
200118185740;;0;18:57:54 18/01/20;-1,008117;1,785976;-3,332275;-0,1492767;-0,736416;-0,1251114;0,6478851;337,8089;261,98;3,575468;TUTORIAL
