ID_TRIAL ;ID_MOVEMENT ;STAGE;ID_STATION;TIME_STAMP ;TIME ;TASK_PART ;GOAL_POS_X ;GOAL_POS_Y ;GOAL_POS_Z ;FINAL_POS_X ;FINAL_POS_Y ;FINAL_POS_Z ;GOAL_ROT_QX ;GOAL_ROT_QY ;GOAL_ROT_QZ ;GOAL_ROT_QW ;FINAL_ROT_QX ;FINAL_ROT_QY ;FINAL_ROT_QZ ;FINAL_ROT_QW ;GOAL_EULER_AX ;GOAL_EULER_AY ;GOAL_EULER_AZ ;FINAL_EULER_AX ;FINAL_EULER_AY ;FINAL_EULER_AZ ;SHAPE;CONDITION
200119174614;175117N42;FIRST;0;17:51:17 19/01/20;326;0;0;0;0;-0,21;0,78;-3;0;-4,371139E-08;0;-1;-2,109358E-06;3,302028E-05;-0,0001276199;-1;0;5,008956E-06;0;0,0002421975;-0,003783814;0,01462415;CYLINDER;SM_OO
200119174614;175117N43;FIRST;0;17:51:18 19/01/20;273;1;0;0,78;-3,4;-0,21;0,78;-3;0;-0,4061385;0;0,9138116;-2,109446E-06;3,302028E-05;-0,0001276199;-1;0;312,075;0;0,0002422076;-0,003783815;0,01462416;CYLINDER;SM_OO
200119174614;175118N44;FIRST;0;17:51:18 19/01/20;280;2;0;0;0;5,960464E-08;0,78;-3,4;0;-0,4061385;0;0,9138116;5,820766E-11;-0,4061385;0;0,9138116;0;312,075;0;6,095221E-09;312,075;-2,708987E-09;CYLINDER;SM_OO
200119174614;175118N45;FIRST;0;17:51:18 19/01/20;252;3;0;0;0;-0,2627835;0,7799591;-2,881247;0;-0,4061385;0;0,9138116;0;0,9138116;1,164153E-10;0,4061384;0;312,075;0;-1,219044E-08;132,075;5,417974E-09;CYLINDER;SM_OO
200119174614;175118N46;FIRST;0;17:51:18 19/01/20;208;4;0,21;0,78;-3;-0,2627835;0,7799591;-2,881247;0;1;0;-4,371139E-08;0;0,9138116;1,164153E-10;0,4061384;0;180;0;-1,219044E-08;132,075;5,417974E-09;CYLINDER;SM_OO
200119174614;175128N47;FIRST;0;17:51:28 19/01/20;222;0;0;0;0;0,21;0,78;-3;0;-4,371139E-08;0;-1;0,0001229704;0,004593306;-1,303329E-05;-0,9999894;0;5,008956E-06;0;359,9859;359,4736;0,001558215;CYLINDER;SM_OO
200119174614;175128N48;FIRST;0;17:51:28 19/01/20;272;1;0;0,78;-3,4;0,21;0,78;-3;0;0,4061385;0;0,9138116;0,0001229704;0,004593306;-1,303329E-05;-0,9999896;0;47,92498;0;359,9859;359,4736;0,001558215;CYLINDER;SM_OO
200119174614;175128N49;FIRST;0;17:51:29 19/01/20;119;2;0;0;0;-7,450581E-09;0,78;-3,4;0;0,4061385;0;0,9138116;0;0,4061385;4,365575E-11;0,9138116;0;47,92498;0;-2,031741E-09;47,92499;4,571415E-09;CYLINDER;SM_OO
200119174614;175129N50;FIRST;0;17:51:29 19/01/20;175;3;0;0;0;0,1572234;0,7799956;-3,120233;0;0,4061385;0;0,9138116;2,910383E-11;0,9138116;-8,731149E-11;-0,4061386;0;47,92498;0;7,788335E-09;227,925;7,111091E-09;CYLINDER;SM_OO
200119174614;175129N51;FIRST;0;17:51:31 19/01/20;2148;4;0,21;0,78;-3;0,1572233;0,7799956;-3,120232;0;1;0;-4,371139E-08;2,910383E-11;0,9138116;-8,731149E-11;-0,4061386;0;180;0;7,788335E-09;227,925;7,111091E-09;CYLINDER;SM_OO
200119174614;175139N52;FIRST;0;17:51:39 19/01/20;222;0;0;0;0;0,21;0,78;-3;0;-4,371139E-08;0;-1;1,213211E-05;0,3886646;-5,981197E-05;-0,9213793;0;5,008956E-06;0;0,001382951;314,2571;0,006855421;BOOK;SM_OO
